ACC X;ACC Y; ACC Z;GYRO X;GYRO Y;GYRO Z;
-1392;-104;17044;-582;-3;-274;
-1392;-104;17044;-582;-3;-274;
-1392;-104;17044;-582;-3;-274;
-1516;-148;16916;-601;10;-275;
-1516;-148;16916;-601;10;-275;
-1516;-148;16916;-601;10;-275;
-1516;-148;16916;-601;10;-275;
-1388;-140;17140;-581;33;-266;
-1388;-140;17140;-581;33;-266;
-1388;-140;17140;-581;33;-266;
-1388;-140;17140;-581;33;-266;
-1388;-140;17140;-581;33;-266;
-1372;-128;17048;-561;15;-266;
-1372;-128;17048;-561;15;-266;
-1372;-128;17048;-561;15;-266;
-1372;-128;17048;-561;15;-266;
-1372;-128;17048;-561;15;-266;
-1428;-192;16984;-560;26;-235;
-1428;-192;16984;-560;26;-235;
-1428;-192;16984;-560;26;-235;
-1428;-192;16984;-560;26;-235;
-1424;-160;17072;-600;11;-279;
-1424;-160;17072;-600;11;-279;
-1424;-160;17072;-600;11;-279;
-1424;-160;17072;-600;11;-279;
-1424;-160;17072;-600;11;-279;
-1384;-252;17000;-573;-37;-233;
-1384;-252;17000;-573;-37;-233;
-1384;-252;17000;-573;-37;-233;
-1384;-252;17000;-573;-37;-233;
-1384;-252;17000;-573;-37;-233;
-1568;-204;16856;-583;-27;-229;
-1568;-204;16856;-583;-27;-229;
-1568;-204;16856;-583;-27;-229;
-1568;-204;16856;-583;-27;-229;
-1372;-184;17064;-598;33;-259;
-1372;-184;17064;-598;33;-259;
-1372;-184;17064;-598;33;-259;
-1372;-184;17064;-598;33;-259;
-1372;-184;17064;-598;33;-259;
-1304;-24;17352;-603;20;-290;
-1304;-24;17352;-603;20;-290;
-1304;-24;17352;-603;20;-290;
-1304;-24;17352;-603;20;-290;
-1504;-204;17000;-595;21;-263;
-1504;-204;17000;-595;21;-263;
-1504;-204;17000;-595;21;-263;
-1504;-204;17000;-595;21;-263;
-1504;-204;17000;-595;21;-263;
-1496;-88;17180;-578;24;-248;
-1496;-88;17180;-578;24;-248;
-1496;-88;17180;-578;24;-248;
